period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel	agebin2
	Emeli	1954	1	290.0	284.0	6.0	0.9793103448275862	0.020689655172413793	2
	Sally	1974	3	39.0	33.0	6.0	0.8461538461538461	0.15384615384615385	6
	Solkattan	1976	3	187.0	11.0	176.0	0.058823529411764705	0.9411764705882353	6
	inga76	1977	3	41.0	37.0	4.0	0.9024390243902439	0.0975609756097561	6
	Mara	1974	3	48.0	37.0	11.0	0.7708333333333334	0.22916666666666666	6
	kvinna79	1980	3	41.0	10.0	31.0	0.24390243902439024	0.7560975609756098	7
	Camarogirl	1971	2	84.0	11.0	73.0	0.13095238095238096	0.8690476190476191	5
	Gothica	1975	3	16.0	9.0	7.0	0.5625	0.4375	6
	Smulan1973	1974	3	30.0	24.0	6.0	0.8	0.2	6
	Ninnie	1980	3	49.0	14.0	35.0	0.2857142857142857	0.7142857142857143	7
	Jola	1977	3	37.0	22.0	15.0	0.5945945945945946	0.40540540540540543	6
	UmeåElin	1982	3	19.0	1.0	18.0	0.05263157894736842	0.9473684210526315	7
	Linnis	1987	4	15.0	3.0	12.0	0.2	0.8	8
	Jennie med ie	1976	3	119.0	113.0	6.0	0.9495798319327731	0.05042016806722689	6
	Helle68	1969	2	33.0	33.0	0.0	1.0	0.0	5
	Carla82	1983	4	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231	8
	wilma123	1975	3	4.0	4.0	0.0	1.0	0.0	6
	Seven Costanza	1984	4	58.0	18.0	40.0	0.3103448275862069	0.6896551724137931	8
	Tjillevippen	1981	3	106.0	103.0	3.0	0.9716981132075472	0.02830188679245283	7
	werner	1976	3	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666	6
	Vildrosen	1971	2	10.0	5.0	5.0	0.5	0.5	5
	Linha	1972	2	45.0	3.0	42.0	0.06666666666666667	0.9333333333333333	5
	gottelina	1974	3	6.0	6.0	0.0	1.0	0.0	6
	augustibruden	1972	2	34.0	2.0	32.0	0.058823529411764705	0.9411764705882353	5
	Ninnii	1986	4	4.0	1.0	3.0	0.25	0.75	8
	Mirren	1978	3	81.0	63.0	18.0	0.7777777777777778	0.2222222222222222	7
	JAG är BÄST	1973	3	307.0	244.0	63.0	0.7947882736156352	0.20521172638436483	6
	moans	1972	2	18.0	17.0	1.0	0.9444444444444444	0.05555555555555555	5
	annajo	1978	3	6.0	3.0	3.0	0.5	0.5	7
	Diwa	1974	3	34.0	0.0	34.0	0.0	1.0	6
	Kajsala	1961	1	23.0	20.0	3.0	0.8695652173913043	0.13043478260869565	3
	Paprikan	1980	3	5.0	0.0	5.0	0.0	1.0	7
	Crollan	1968	2	3.0	3.0	0.0	1.0	0.0	5
	Vitsippa75	1976	3	12.0	6.0	6.0	0.5	0.5	6
	Strawberry Mum	1984	4	29.0	27.0	2.0	0.9310344827586207	0.06896551724137931	8
	BTD	1976	3	30.0	15.0	15.0	0.5	0.5	6
	Pebble	1982	3	6.0	2.0	4.0	0.3333333333333333	0.6666666666666666	7
	Rude Billy	1987	4	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091	8
	car	1975	3	126.0	104.0	22.0	0.8253968253968254	0.1746031746031746	6
	Amy1983	1984	4	47.0	9.0	38.0	0.19148936170212766	0.8085106382978723	8
	Emma Elisabeth	1991	4	9.0	3.0	6.0	0.3333333333333333	0.6666666666666666	9
	Fru Brastad	1977	3	46.0	19.0	27.0	0.41304347826086957	0.5869565217391305	6
	Terez	1984	4	49.0	33.0	16.0	0.673469387755102	0.32653061224489793	8
	Humblebee	1968	2	1.0	1.0	0.0	1.0	0.0	5
	BELLAm2	1982	3	13.0	2.0	11.0	0.15384615384615385	0.8461538461538461	7
	Juppepuppe	1980	3	24.0	18.0	6.0	0.75	0.25	7
	pco	1987	4	33.0	8.0	25.0	0.24242424242424243	0.7575757575757576	8
