verb	freq	max	min	span	s1signif	s1reversed	s1failedmodels	s1asym	s1mid	s1growth	s3signif	s3reversed	s3failedmodels	s3asym	s3mid	s3growth	s5signif	s5reversed	s5failedmodels	s5asym	s5mid	s5growth
hota	11179	0.283	0.154	0.128	0.0024	false	6203	0.244	1998	8.22	0.3588	false	5728	0.249	1997	9.15	NA			0.0	0	0.0
planera	40545	0.144	0.06	0.084	0.0001	true	6463	0.938	2046	-8.76	0.1933	true	5990	0.94	2046	-9.09	0.3292	true	5971	0.937	2045	-8.42
lova	17232	0.203	0.07	0.133	0.0	false	6042	0.234	2010	8.19	0.0006	false	5516	0.23	2010	8.1	0.005	false	5582	0.236	2010	8.82
tendera	43575	0.114	0.042	0.072	0.0	false	6029	0.102	2008	4.87	0.0229	false	5547	0.101	2008	4.85	0.1541	false	5502	0.102	2008	5.1
riskera	64593	0.196	0.094	0.102	0.0	true	6452	0.92	2045	-11.4	0.1142	true	5916	0.919	2045	-11.42	0.3149	true	5954	0.916	2045	-11.11
avse	15918	0.392	0.217	0.175	0.0	false	6189	0.389	2002	7.27	0.0001	false	5744	0.393	2002	7.74	0.0007	false	5583	0.402	2002	8.68
fortsätta	179951	0.604	0.491	0.113	0.0	false	6603	0.584	2000	2.42	0.0297	false	5911	0.585	1999	2.91	0.1354	false	5888	0.586	1998	3.45
komma	3335078	0.67	0.432	0.239	0.0	false	6324	0.644	2003	1.84	0.0415	false	5787	0.644	2002	2.06	0.223	false	5831	0.644	2002	2.33
förmå	12829	0.827	0.667	0.159	0.0	true	6135	0.312	2003	4.82	0.0343	true	5678	0.315	2002	5.39	0.1718	true	5590	0.321	2002	6.48
glömma	56484	0.785	0.716	0.069	0.0045	false	6412	0.758	2038	-4.94	0.3958	false	6028	0.758	2040	-5.27	0.3875	false	6122	0.758	2041	-5.77
vägra	190341	0.831	0.783	0.048	0.0009	true	6262	0.196	2031	-3.87	0.3569	true	5904	0.195	2031	-3.71	0.3774	true	5926	0.195	2031	-3.89
anse	39483	0.963	0.914	0.049	0.0	false	6705	0.962	2045	-6.94	0.0022	false	6077	0.963	2044	-6.92	0.0479	false	6104	0.964	2047	-7.79
sluta	148165	0.913	0.885	0.028	0.0131	false	6546	0.902	1998	1.6	0.3835	false	6160	0.902	1998	1.61	0.384	false	6158	0.901	1998	1.54
slippa	132575	0.972	0.959	0.013	0.0024	false	6833	0.968	1996	1.82	NA			0.0	0	0.0	NA			0.0	0	0.0
försöka	1112479	0.975	0.962	0.013	0.0176	false	6833	0.971	2001	0.53	0.2351	true	5821	0.031	2033	-5.47	0.1258	true	5837	0.031	2032	-4.49
låtsas	29031	1.0	0.981	0.019	0.009	true	6250	0.014	2005	0.14	0.0266	true	5582	0.014	2004	0.86	0.0654	true	5385	0.014	2004	1.26
lyckas	309822	0.989	0.978	0.01	NA			0.0	0	0.0	0.0152	false	6456	0.987	2032	-1.43	0.0384	false	6479	0.987	2034	-1.78
hinna	106570	0.993	0.981	0.012	0.0068	true	6005	0.015	2003	5.33	0.2562	true	5637	0.015	2002	6.33	0.2181	true	5563	0.015	2003	5.16
börja	1299462	0.989	0.956	0.033	0.018	false	6643	0.987	2025	-0.36	0.1576	false	5980	0.987	2029	-1.26	0.2104	false	6000	0.987	2033	-2.07
orka	163512	0.993	0.985	0.008	0.0	true	6223	0.014	2005	5.33	0.0001	true	5594	0.014	2004	5.34	0.0001	true	5537	0.014	2004	5.58
våga	205454	0.994	0.991	0.004	0.1939	true	6112	0.009	1978	26.84	0.2158	false	6701	0.995	2216	-32.21	0.039	false	6664	0.993	2069	-6.67
behöva	621498	0.999	0.998	0.001	0.1767	true	5894	0.002	1987	18.87	0.4111	true	5662	0.002	1993	11.27	0.427	true	5558	0.002	1993	10.6
bruka	876214	1.0	0.999	0.001	0.0285	true	6043	0.001	2005	3.62	0.4111	true	5605	0.001	2005	3.22	0.4358	true	5439	0.001	2005	3.15
råka	197170	1.0	0.997	0.003	0.0001	true	6012	0.002	2015	7.49	0.247	false	6847	1.001	2187	-27.52	0.3499	true	5333	0.002	2015	7.57
torde	58040	1.0	0.999	0.001	NA			0.0	0	0.0	0.2491	true	6381	0.0	2007	0.41	0.2264	true	5018	0.0	2008	1.32
förefalla	13615	0.967	0.919	0.047	0.0764	true	5816	0.054	2026	-2.81	0.0474	true	5495	0.054	2027	-3.12	0.0973	true	5509	0.054	2027	-2.92
