period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
2003	Jossebell	1969		4.0	1.0	3.0	0.25	0.75
2003	Sanna80	1981		2.0	0.0	2.0	0.0	1.0
2003	Jennie med ie	1976		2.0	0.0	2.0	0.0	1.0
2003	evita	1971		1.0	0.0	1.0	0.0	1.0
2003	MalinI	1979		3.0	0.0	3.0	0.0	1.0
2003	MiaD	1972		1.0	1.0	0.0	1.0	0.0
2003	Pix	1966		1.0	0.0	1.0	0.0	1.0
2003	5 barn Waldenryd	1976		2.0	1.0	1.0	0.5	0.5
2003	Tilda	1981		2.0	0.0	2.0	0.0	1.0
2003	vanilla	1973		2.0	0.0	2.0	0.0	1.0
2003	pabe	1983		3.0	0.0	3.0	0.0	1.0
2003	Baronessan	1975		2.0	0.0	2.0	0.0	1.0
2003	Pyris	1978		1.0	0.0	1.0	0.0	1.0
2003	fia78	1979		1.0	0.0	1.0	0.0	1.0
2003	Moonlight	1977		1.0	0.0	1.0	0.0	1.0
2003	Lilla Jag	1984		1.0	0.0	1.0	0.0	1.0
2003	Jissa	1978		1.0	0.0	1.0	0.0	1.0
2003	Nemi	1971		2.0	1.0	1.0	0.5	0.5
2003	Jojo77	1978		1.0	0.0	1.0	0.0	1.0
2003	Annika78	1979		2.0	0.0	2.0	0.0	1.0
2003	Mysen	1978		2.0	0.0	2.0	0.0	1.0
2003	Mamba	1985		1.0	0.0	1.0	0.0	1.0
2003	Lenagbg	1972		1.0	0.0	1.0	0.0	1.0
2003	Persikan	1983		1.0	0.0	1.0	0.0	1.0
2003	Syster C	1980		1.0	0.0	1.0	0.0	1.0
2003	Snoffsan	1980		2.0	0.0	2.0	0.0	1.0
2003	mumma	1981		1.0	0.0	1.0	0.0	1.0
2003	Snutten	1981		1.0	1.0	0.0	1.0	0.0
2003	Thessie	1985		1.0	0.0	1.0	0.0	1.0
2003	Vitsippa	1973		1.0	0.0	1.0	0.0	1.0
2004	Pallas	1974		6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
2004	Eva77	1978		2.0	0.0	2.0	0.0	1.0
2004	elliot	1984		1.0	0.0	1.0	0.0	1.0
2004	kixan	1982		27.0	0.0	27.0	0.0	1.0
2004	Pyris	1978		8.0	1.0	7.0	0.125	0.875
2004	Mossberg	1963		1.0	0.0	1.0	0.0	1.0
2004	andypandy	1976		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
