period	username	total	v1abs	v2abs	v1rel	v2rel
2017	user00004528	42.0	0.0	42.0	0.0	1.0
2017	user00000008	25.0	20.0	5.0	0.8	0.2
2017	user00002739	17.0	4.0	13.0	0.23529411764705882	0.7647058823529411
2017	user00000066	33.0	31.0	2.0	0.9393939393939394	0.06060606060606061
2017	user00000583	30.0	0.0	30.0	0.0	1.0
2017	user00000053	45.0	7.0	38.0	0.15555555555555556	0.8444444444444444
2017	user00000233	39.0	0.0	39.0	0.0	1.0
2017	user00001142	11.0	11.0	0.0	1.0	0.0
2017	user00003251	17.0	2.0	15.0	0.11764705882352941	0.8823529411764706
2017	user00001676	12.0	0.0	12.0	0.0	1.0
2017	user00005637	22.0	14.0	8.0	0.6363636363636364	0.36363636363636365
2017	user00000805	19.0	0.0	19.0	0.0	1.0
2017	user00017101	15.0	2.0	13.0	0.13333333333333333	0.8666666666666667
2017	user00000580	11.0	7.0	4.0	0.6363636363636364	0.36363636363636365
2017	user00000458	79.0	71.0	8.0	0.8987341772151899	0.10126582278481013
2017	user00009657	25.0	9.0	16.0	0.36	0.64
2017	user00000352	29.0	1.0	28.0	0.034482758620689655	0.9655172413793104
2017	user00007715	13.0	0.0	13.0	0.0	1.0
2017	user00000014	12.0	12.0	0.0	1.0	0.0
2017	user00046826	19.0	19.0	0.0	1.0	0.0
2017	user00003378	21.0	2.0	19.0	0.09523809523809523	0.9047619047619048
2017	user00000049	13.0	0.0	13.0	0.0	1.0
2017	user00008677	12.0	12.0	0.0	1.0	0.0
2017	user00059279	14.0	4.0	10.0	0.2857142857142857	0.7142857142857143
2017	user00005970	19.0	4.0	15.0	0.21052631578947367	0.7894736842105263
2017	user00066115	20.0	1.0	19.0	0.05	0.95
2017	user00003392	59.0	0.0	59.0	0.0	1.0
2017	user00005719	28.0	4.0	24.0	0.14285714285714285	0.8571428571428571
2017	user00064335	15.0	10.0	5.0	0.6666666666666666	0.3333333333333333
2017	user00000755	16.0	15.0	1.0	0.9375	0.0625
2017	user00041450	18.0	18.0	0.0	1.0	0.0
2017	user00017102	13.0	0.0	13.0	0.0	1.0
2017	user00005530	63.0	14.0	49.0	0.2222222222222222	0.7777777777777778
2017	user00001611	17.0	1.0	16.0	0.058823529411764705	0.9411764705882353
2017	user00006273	18.0	4.0	14.0	0.2222222222222222	0.7777777777777778
2017	user00009770	11.0	4.0	7.0	0.36363636363636365	0.6363636363636364
2017	user00017111	27.0	1.0	26.0	0.037037037037037035	0.9629629629629629
2017	user00044864	16.0	0.0	16.0	0.0	1.0
2017	user00032132	17.0	15.0	2.0	0.8823529411764706	0.11764705882352941
2017	user00000949	11.0	0.0	11.0	0.0	1.0
2017	user00011634	13.0	2.0	11.0	0.15384615384615385	0.8461538461538461
2017	user00027303	15.0	4.0	11.0	0.26666666666666666	0.7333333333333333
2017	user00011641	24.0	2.0	22.0	0.08333333333333333	0.9166666666666666
2017	user00036049	16.0	0.0	16.0	0.0	1.0
2017	user00044886	13.0	13.0	0.0	1.0	0.0
2017	user00111222	12.0	3.0	9.0	0.25	0.75
2017	user00007900	16.0	0.0	16.0	0.0	1.0
2017	user00053860	251.0	2.0	249.0	0.00796812749003984	0.9920318725099602
2017	user00007823	37.0	2.0	35.0	0.05405405405405406	0.9459459459459459
2017	user00045054	15.0	0.0	15.0	0.0	1.0
2017	user00023588	18.0	0.0	18.0	0.0	1.0
2017	user00005020	37.0	20.0	17.0	0.5405405405405406	0.4594594594594595
2017	user00118862	15.0	0.0	15.0	0.0	1.0
2017	user00029573	24.0	1.0	23.0	0.041666666666666664	0.9583333333333334
2017	user00002858	76.0	2.0	74.0	0.02631578947368421	0.9736842105263158
2017	user00033884	70.0	0.0	70.0	0.0	1.0
2017	user00117412	24.0	1.0	23.0	0.041666666666666664	0.9583333333333334
2017	user00085556	37.0	0.0	37.0	0.0	1.0
2017	user00018046	15.0	7.0	8.0	0.4666666666666667	0.5333333333333333
2017	user00003398	11.0	0.0	11.0	0.0	1.0
2017	user00081052	11.0	0.0	11.0	0.0	1.0
2017	user00035502	25.0	3.0	22.0	0.12	0.88
2017	user00072996	12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
2017	user00002482	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
2017	user00005097	15.0	0.0	15.0	0.0	1.0
2017	user00013769	15.0	14.0	1.0	0.9333333333333333	0.06666666666666667
2017	user00026946	25.0	8.0	17.0	0.32	0.68
2017	user00117031	22.0	3.0	19.0	0.13636363636363635	0.8636363636363636
2017	user00058212	13.0	0.0	13.0	0.0	1.0
2017	user00056395	20.0	20.0	0.0	1.0	0.0
2017	user00058251	14.0	0.0	14.0	0.0	1.0
2017	user00121449	14.0	0.0	14.0	0.0	1.0
2017	user00005705	19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
2017	user00038303	16.0	0.0	16.0	0.0	1.0
2017	user00009406	13.0	0.0	13.0	0.0	1.0
2017	user00009976	17.0	0.0	17.0	0.0	1.0
2017	user00124650	27.0	1.0	26.0	0.037037037037037035	0.9629629629629629
2017	user00087835	14.0	5.0	9.0	0.35714285714285715	0.6428571428571429
2017	user00044471	15.0	0.0	15.0	0.0	1.0
2017	user00010759	13.0	0.0	13.0	0.0	1.0
2017	user00033613	19.0	2.0	17.0	0.10526315789473684	0.8947368421052632
2017	user00012291	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
2017	user00012274	47.0	23.0	24.0	0.48936170212765956	0.5106382978723404
2017	user00005794	13.0	2.0	11.0	0.15384615384615385	0.8461538461538461
2017	user00041330	23.0	1.0	22.0	0.043478260869565216	0.9565217391304348
2017	user00003080	60.0	3.0	57.0	0.05	0.95
2017	user00017838	17.0	0.0	17.0	0.0	1.0
2017	user00147718	17.0	0.0	17.0	0.0	1.0
2017	user00074146	36.0	1.0	35.0	0.027777777777777776	0.9722222222222222
2017	user00147710	15.0	1.0	14.0	0.06666666666666667	0.9333333333333333
2017	user00117855	42.0	1.0	41.0	0.023809523809523808	0.9761904761904762
2017	user00143745	20.0	0.0	20.0	0.0	1.0
2017	user00038640	37.0	5.0	32.0	0.13513513513513514	0.8648648648648649
2017	user00117987	47.0	0.0	47.0	0.0	1.0
2017	user00147553	14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
2017	user00144006	13.0	4.0	9.0	0.3076923076923077	0.6923076923076923
2017	user00017195	17.0	0.0	17.0	0.0	1.0
2017	user00147730	46.0	0.0	46.0	0.0	1.0
2017	user00147731	21.0	1.0	20.0	0.047619047619047616	0.9523809523809523
2017	user00147734	13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
2017	user00147715	11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
2017	user00141461	26.0	0.0	26.0	0.0	1.0
2017	user00139485	57.0	3.0	54.0	0.05263157894736842	0.9473684210526315
